MetroShort,date,city center,outer suburb,dif,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat,wfh_share,population
"New Orleans, LA",2023-02-15,-1.0088228028911739,-1.182391210982827,-0.17356840809165308,1109797,1179135,2287.6630814671817,1646.2201602316602,49211,674.148590091271,716.2681082912198,35380,"New Orleans-Metairie, LA",New Orleans-Metairie,LA,0.27050275,0.35226095,0.32029042,0.40050876,LA,222052.6974251069,-90.070801,29.952499,8.543333333333333,1179135
"New York, NY",2023-02-15,-13.595854618761019,0.8931561877086425,14.489010806469661,18929284,19335518,7054.35877027027,6593.158934749034,1023709,2871.0492477640437,2932.6637187665488,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York-Newark-Jersey City,NY-NJ-PA,0.35236636,0.4659619,0.41956478,0.53913975,NY,490789.05649927666,-73.980797,40.756699,18.74,19335518
"Oklahoma City, OK",2023-02-15,-3.2265495812663345,4.2310955308184965,7.4576451120848315,1292880,1424318,6463.845429343629,6385.498623166023,62061,202.47126752318857,223.05509468480668,36420,"Oklahoma City, OK",Oklahoma City,OK,0.32024133,0.40652001,0.37340865,0.46068013,OK,160532.13305798557,-97.522499,35.468201,13.540000000000001,1424318
"Omaha, NE",2023-02-15,2.387811957827306,3.6996320214616323,1.3118200636343262,873118,938317,5044.7497911196915,4986.314418918919,39825,175.10287692393462,188.17846633173932,36540,"Omaha-Council Bluffs, NE-IA",Omaha-Council Bluffs,NE-IA,0.34043512,0.42004812,0.38899702,0.4640663,NE,194148.48265348608,-95.933098,41.256699,10.756666666666668,938317
"Orlando, FL",2023-02-15,-1.6631354798668843,0.039657191119057536,1.7027926709859418,2107196,2470593,3321.8703559845562,2910.519832046332,120406,723.9930052352435,848.8493954919978,36740,"Orlando-Kissimmee-Sanford, FL",Orlando-Kissimmee-Sanford,FL,0.30913433,0.40698722,0.3507984,0.44835913,FL,259458.35600652007,-81.378799,28.543501,12.343333333333334,2470593
"Oxnard, CA",2023-02-15,0.3160053860988431,-0.2499016176312295,-0.5659070037300726,787571,812122,1275.8933432432432,1199.2984945945946,34841,656.6930614435792,677.1641952861169,37100,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard-Thousand Oaks-Ventura,CA,0.31395799,0.41939071,0.36002243,0.45664853,CA,631245.9807763752,-119.179,34.1973,5.015,812122
"Pensacola, FL",2023-02-15,-6.556746168913469,0.6775374009635488,7.234283569877018,448500,487461,1519.985154054054,1433.4132416988418,16606,312.8895331456895,340.0701108511281,37860,"Pensacola-Ferry Pass-Brent, FL",Pensacola-Ferry Pass-Brent,FL,0.29036233,0.35213703,0.33499542,0.39884046,FL,184991.0443203776,-87.215302,30.412201,5.705,487461
"Peoria, IL",2023-02-15,0.2772318738044701,4.413052989886916,4.135821116082446,362594,355351,2044.476618146718,2002.5770262548265,11969,181.06369704945385,177.44685739482856,37900,"Peoria, IL",Peoria,IL,0.32186326,0.40816802,0.35138768,0.4142206,IL,111065.86960705806,-89.589996,40.691299,7.3149999999999995,355351
"Philadelphia, PA",2023-02-15,-5.97296145185633,0.40685628292252185,6.379817734778852,5941166,6051831,4427.958762548263,4284.173959073359,254333,1386.770485222089,1412.6016025056497,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,0.34188336,0.43942869,0.40106103,0.49999312,PA,250920.47475361952,-75.160103,39.950001,16.07,6051831
"Phoenix, AZ",2023-02-15,-0.9415894935734442,0.2297369149959437,1.171326408569388,4232617,4809032,15649.681127027026,15623.58783822394,179247,270.9119725780705,307.80586698750767,38060,"Phoenix-Mesa-Scottsdale, AZ",Phoenix-Mesa-Scottsdale,AZ,0.34667766,0.44133058,0.38884294,0.48088622,AZ,287987.5896084475,-112.074,33.476898,16.13,4809032
"Pittsburgh, PA",2023-02-15,-1.3877753831417625,1.3416558624806234,2.729431245622386,2360528,2334327,5564.469288416988,5506.240732432432,95791,428.70047182939186,423.9420529237903,38300,"Pittsburgh, PA",Pittsburgh,PA,0.31597543,0.3994509,0.36815506,0.45329663,PA,159630.70274664758,-80.001503,40.440899,16.733333333333334,2334327
"Portland, OR",2023-02-15,-5.475276131958159,-0.11114211286719626,5.3641340190909625,2296028,2520998,4637.147712741313,4532.273648648648,128995,506.5951833434833,556.2325215626964,38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland-Vancouver-Hillsboro,OR-WA,0.34609646,0.43952808,0.39116162,0.47749302,OR,414231.1374139787,-122.676,45.518501,13.453333333333333,2520998
"Providence, RI",2023-02-15,-0.27515693718753526,0.9035363474656941,1.1786932846532294,1600852,1618268,1758.1275548262547,1586.9024725868726,69993,1008.7904125515588,1019.7652520901282,77200,"Providence-Warwick, RI-MA",Providence-Warwick,RI-MA,0.31182271,0.39236581,0.36166343,0.44020227,RI,318636.20988411043,-71.413696,41.824001,13.046666666666667,1618268
"Pueblo, CO",2023-02-15,1.6898695681557088,-1.5399006424431163,-3.229770210598825,151475,156605,2626.533732818533,2614.7513501930503,4320,57.930938629715754,59.892884265434134,39380,"Pueblo, CO",Pueblo,CO,0.23212163,0.25160402,0.27505085,0.29389712,CO,191885.65214471865,-104.612,38.273602,6.831666666666667,156605
"Raleigh, NC",2023-02-15,1.7552225249772926,0.01874771999693403,-1.7364748049803587,900428,1036389,1995.4474606177607,1971.5117555984557,48800,456.71956935741105,525.6823841181725,39580,"Raleigh, NC",Raleigh,NC,0.35944811,0.49456331,0.41300467,0.54099578,NC,285959.10075343406,-78.639099,35.7766,17.21666666666667,1036389
"Reading, PA",2023-02-15,0.8567419945379782,0.49349099940688945,-0.3632509951310887,338505,345359,559.4626888030888,551.7109050193051,10456,613.5550284041518,625.9782013696384,39740,"Reading, PA",Reading,PA,0.26327392,0.33007059,0.31614298,0.37022027,PA,185454.1248257539,-75.924797,40.335098,9.256666666666666,345359
"Reno, NV",2023-02-15,-0.4361840248377077,-2.5343102477079817,-2.098126222870274,424825,460431,5842.964567567567,5621.926405791505,22834,75.5657348275425,81.89915106780491,39900,"Reno, NV",Reno,NV,0.2589801,0.34564951,0.30929998,0.38923916,NV,385552.5104689571,-119.813,39.528702,6.428333333333334,460431
"Richmond, VA",2023-02-15,1.7012990854843881,2.471962909380339,0.7706638238959509,1384485,1475169,7019.223209266409,6804.1869050193045,62118,203.475451119471,216.80312733793352,40060,"Richmond, VA",Richmond,VA,0.33731318,0.45246115,0.38674715,0.50246274,VA,246630.35153008727,-77.437401,37.542801,17.518333333333334,1475169
"Riverside, CA",2023-02-15,-1.1439323761000457,0.4662419624478631,1.6101743385479088,4170209,4505876,9874.33188957529,9828.782715830115,134303,424.28539937946874,458.43683091527623,40140,"Riverside-San Bernardino-Ontario, CA",Riverside-San Bernardino-Ontario,CA,0.248191,0.30152175,0.30143875,0.3496232,CA,377471.7253552921,-117.376,33.980202,6.928333333333333,4505876
"Roanoke, VA",2023-02-15,2.279545667886979,1.1518210293467628,-1.1277246385402164,290999,294663,1907.658143243243,1889.84255019305,12849,153.98055249114486,155.91933834376823,40220,"Roanoke, VA",Roanoke,VA,0.26184613,0.32308793,0.31594259,0.37510112,VA,179886.05576281325,-79.942802,37.2715,18.765,294663
"Rochester, NY",2023-02-15,1.1371256063730342,1.5147000626398854,0.37757445626685127,1041129,1035404,2819.4932351351354,2791.94044015444,38423,372.90516123703856,370.854616061482,40380,"Rochester, NY",Rochester,NY,0.33922747,0.40852714,0.39265522,0.45416301,NY,158614.162290463,-77.607498,43.1563,8.346666666666668,1035404
"Rockford, IL",2023-02-15,5.434152472809361,1.08935701235652,-4.344795460452841,293736,286832,592.0462571428571,586.9668108108108,10317,500.4303388027096,488.6681746175437,40420,"Rockford, IL",Rockford,IL,0.25203148,0.30058146,0.29251796,0.32495639,IL,123639.40709825885,-89.093399,42.272999,7.845000000000001,286832
"Sacramento, CA",2023-02-15,-3.963586784975274,1.2113894039528958,5.17497618892817,2209489,2380516,5096.927435135135,5019.393163320464,91178,440.1904628922042,474.263705301225,40900,"Sacramento--Roseville--Arden-Arcade, CA",Sacramento--Roseville--Arden-Arcade,CA,0.3502709,0.44375852,0.40342751,0.4892731,CA,429048.08300021023,-121.493,38.579201,15.283333333333333,2380516
"Salem, OR",2023-02-15,-8.129137305146273,1.8455674472926216,9.974704752438894,289515,313402,774.9911567567567,768.4352181467182,13361,376.759150495784,407.8443993702561,41420,"Salem, OR",Salem,OR,0.29286161,0.35281464,0.35163167,0.40096799,OR,308430.5429347667,-123.038,44.942799,25.259999999999998,313402
"Salt Lake City, UT",2023-02-15,5.471368327599601,-0.3607989904918911,-5.832167318091492,1071123,1178267,2151.026496911197,2115.9853586872587,58734,506.20529844522014,556.8408094898105,41620,"Salt Lake City, UT",Salt Lake City,UT,0.39780337,0.48986137,0.43339336,0.52558041,UT,362950.585661729,-111.889,40.763599,13.14,1178267
"San Antonio, TX",2023-02-15,-1.3248335710889207,2.5758819282202827,3.9007154993092037,2140051,2463804,7617.925059073359,7558.658618532819,80781,283.1257645044164,325.9578351586196,41700,"San Antonio-New Braunfels, TX",San Antonio-New Braunfels,TX,0.3269262,0.41764671,0.37705666,0.4631488,TX,208016.59412789575,-98.4907,29.426399,9.608333333333333,2463804
"San Diego, CA",2023-02-15,-3.3660519772913173,0.38112512070168814,3.7471770979930055,3041838,3260294,2725.033786100386,2688.791005791506,156427,1131.3032487270489,1212.550173285134,41740,"San Diego-Carlsbad, CA",San Diego-Carlsbad,CA,0.3477357,0.45893136,0.39516366000000003,0.50030339,CA,615168.0946564456,-117.162,32.714001,14.538333333333334,3260294
"San Francisco, CA",2023-02-15,-8.684243615691337,-0.693006983530852,7.991236632160485,4453606,4836168,2721.3615884169885,2598.56192007722,245648,1713.8733410930824,1861.0940007372565,41860,"San Francisco-Oakland-Hayward, CA",San Francisco-Oakland-Hayward,CA,0.39781314,0.53622544,0.44755739,0.5840202,CA,954527.8849215688,-122.408,37.785702,28.085,4836168
"San Jose, CA",2023-02-15,-1.2684176012086106,-1.0419838183706132,0.22643378283799742,1822974,1972474,2547.5307938223937,2535.351046718147,89778,719.0223233030099,777.9885166408195,41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose-Sunnyvale-Santa Clara,CA,0.47426072,0.63637751,0.51112145,0.66457206,CA,1186118.649157202,-121.89,37.334202,14.315,1972474
"Savannah, GA",2023-02-15,3.0354772585983816,0.4824382972318258,-2.5530389613665556,352686,391865,1206.6030532818534,1159.9307038610038,16024,304.05781899386886,337.8348367670744,42340,"Savannah, GA",Savannah,GA,0.25080073,0.3287355,0.3030524,0.36976883,GA,201854.88835811545,-81.089996,32.0788,4.658333333333333,391865
"Seattle, WA",2023-02-15,-15.502434092743105,-0.2891872697310732,15.213246823012032,3406020,3835346,4920.597171814672,4687.218837451737,193259,726.6611861143065,818.2562267745817,42660,"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma-Bellevue,WA,0.37474459,0.49018329,0.42281505,0.53369951,WA,518266.2838602286,-122.335,47.6077,18.465,3835346
"Shreveport, LA",2023-02-15,-1.757768361581922,0.6674863968881721,2.425254758470094,397436,397826,2773.420255212355,2665.5123138996137,14832,149.10304406681047,149.24935740326225,43340,"Shreveport-Bossier City, LA",Shreveport-Bossier City,LA,0.24113959,0.28996527,0.29716572,0.3393575,LA,149685.8307060551,-93.749298,32.511799,6.066666666666666,397826
"Sioux Falls, SD",2023-02-15,-1.7210617787686042,-1.5892886111524183,0.13177316761618596,230168,261217,2830.999866795367,2819.8019644787646,12949,81.6255903426701,92.63664728607476,43620,"Sioux Falls, SD",Sioux Falls,SD,0.29081249,0.36277238,0.34037104,0.40788794,SD,227431.62582454673,-96.727303,43.545799,7.29,261217
"Spokane, WA",2023-02-15,1.403012949236019,-0.935694464759503,-2.338707413995522,473579,506026,2134.438546718147,2109.5540374517377,22900,224.49247167522935,239.873447665394,44060,"Spokane-Spokane Valley, WA",Spokane-Spokane Valley,WA,0.28824699,0.34493747,0.34154212,0.38370025,WA,262178.5556424123,-117.421,47.657501,8.783333333333333,506026
"Springfield, IL",2023-02-15,7.095553634879477,1.1399985677911335,-5.955555067088343,200506,199433,1008.0370945945946,995.078423938224,8090,201.4976861888503,200.41937921908064,44100,"Springfield, IL",Springfield,IL,0.38129437,0.46403995,0.42916358,0.49849075,IL,140763.69284418615,-89.647003,39.799801,12.331666666666667,199433
"Springfield, MA",2023-02-15,4.338449582280942,0.4585857505822215,-3.879863831698721,693392,700259,1916.4259115830116,1855.453635135135,22138,373.7048379274103,377.40581965498654,78100,"Springfield, MA-CT",Springfield,MA-CT,0.30223149,0.35632816,0.35325184,0.40119877,MA,241583.92125529324,-72.594101,42.103298,7.775,700259
"Springfield, MO",2023-02-15,2.5912526129602824,1.3817629117474919,-1.2094897012127905,403428,424360,3140.7838525096527,3114.7929783783784,18644,129.52000431503234,136.2401941142586,44180,"Springfield, MO",Springfield,MO,0.28283477,0.34036371,0.33333564,0.38588983,MO,160162.31659553232,-93.2901,37.207298,7.2683333333333335,424360
"Stockton, CA",2023-02-15,-1.9040811119116232,-0.4631239498235834,1.44095716208804,614626,658716,1190.5058725868726,1164.5303675675675,17966,527.7887267841803,565.6494826973934,44700,"Stockton-Lodi, CA",Stockton-Lodi,CA,0.22769897,0.27840576,0.28545684,0.32741696,CA,385841.18438136607,-121.288,37.952999,4.701666666666666,658716
"Syracuse, NY",2023-02-15,-0.5134820913799396,2.202170667367667,2.7156527587476065,593799,583315,2416.0953934362933,2382.179794980695,21234,249.26707935779973,244.86606814022076,45060,"Syracuse, NY",Syracuse,NY,0.32639894,0.39347753,0.38042909,0.4399682,NY,145769.87730672475,-76.150497,43.048199,8.813333333333333,583315
"Tallahassee, FL",2023-02-15,1.9066321806047812,1.6459923723580998,-0.2606398082466814,372046,386474,2622.1193918918916,2499.7504590733593,15634,148.83325599544642,154.60503211319073,45220,"Tallahassee, FL",Tallahassee,FL,0.38014126,0.44594127,0.43416938,0.49343306,FL,194249.23609805809,-84.281197,30.4405,13.961666666666666,386474
"Tampa, FL",2023-02-15,-6.4650582112451485,1.5799127175185632,8.044970928763712,2776089,3084405,2723.180076061776,2501.362783783784,141928,1109.8306163333257,1233.0898260724318,45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg-Clearwater,FL,0.34797734,0.43807134,0.39938056,0.49317366,FL,234190.1838608375,-82.456398,27.9491,14.635,3084405
"Toledo, OH",2023-02-15,-0.12318272433326038,1.5717312652926316,1.694913989625892,635691,628193,1540.9027351351351,1515.6512787644788,22380,419.4177175888371,414.4706693429424,45780,"Toledo, OH",Toledo,OH,0.25834081,0.31394958,0.30763268,0.35740691,OH,129293.36576876829,-83.536598,41.654099,9.355,628193
"Topeka, KS",2023-02-15,2.3398036590807716,0.8406375865842279,-1.4991660724965437,211650,210037,2517.3550675675674,2472.009136679537,6493,85.61861558662905,84.96610990771937,45820,"Topeka, KS",Topeka,KS,0.32149363,0.39753208,0.37747237,0.44099402,KS,130264.84774779416,-95.675499,39.050999,28.84166666666667,210037
"Tucson, AZ",2023-02-15,-14.522353840275127,1.1061692032159574,15.628523043491084,937014,974966,2845.224657915058,2844.0894845559847,34767,329.4600978936095,342.8042631198049,46060,"Tucson, AZ",Tucson,AZ,0.3300246,0.40594903,0.37286454,0.4464902,AZ,228572.2942994275,-110.97,32.2211,6.915,974966
"Tulsa, OK",2023-02-15,1.007849526066351,1.5980993130278924,0.5902497869615415,904929,952930,5940.797357142857,5786.523571428572,39908,156.38560680339404,164.68091562007436,46140,"Tulsa, OK",Tulsa,OK,0.29516971,0.38411924,0.35133934,0.43774456,OK,156122.21310151057,-95.990799,36.1521,8.518333333333333,952930
"Tyler, TX",2023-02-15,0.8149204515368138,2.937831383078082,2.122910931541268,212561,228843,991.9320247104248,962.8508042471044,10000,220.76213579757132,237.67233614032497,46340,"Tyler, TX",Tyler,TX,0.2638205,0.31061065,0.32635415,0.36476904,TX,177183.7726502554,-95.302399,32.350899,2.8833333333333333,228843
"Virginia Beach, VA",2023-02-15,-0.9327131297887871,0.8655256993789756,1.7982388291677627,1634069,1680325,3043.747148648649,2514.501953667954,64138,649.8579162431555,668.2536068619381,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach-Norfolk-Newport News,VA-NC,0.30519652,0.39614105,0.34641182,0.42769811,VA,246672.9063161683,-76.057344,36.750525,12.436666666666666,1680325
"Waco, TX",2023-02-15,-0.33621382966050783,3.8095031262374817,4.145716955897989,225376,242129,1161.3203637065635,1135.8054525096525,8138,198.4283483602001,213.1782335302201,47380,"Waco, TX",Waco,TX,0.29967549,0.3680484,0.3473382,0.40433186,TX,162214.57790333702,-97.133598,31.5543,4.6866666666666665,242129
"Wichita, KS",2023-02-15,4.22861717447325,3.9215753340020005,-0.3070418404712494,596187,611649,4098.489037065637,4067.984588416988,22450,146.55586496014718,150.3567643155739,48620,"Wichita, KS",Wichita,KS,0.29718778,0.36983702,0.33535591,0.3976042,KS,138907.4661085112,-97.337502,37.686901,6.973333333333333,611649
"Worcester, MA",2023-02-15,-1.6865662568745672,0.9233062982191568,2.609872555093724,796645,822431,1524.656755984556,1472.229376061776,28709,541.1147290995042,558.6296628586564,79600,"Worcester, MA-CT",Worcester,MA-CT,0.31928214,0.38053605,0.36986655,0.42283213,MA,296889.09774769587,-71.800301,42.263802,9.32,822431
